,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,CANTIDAD
0,ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,MASCULINO,ADULTOS,1
1,BOYACÁ,DUITAMA,15238000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,FEMENINO,ADULTOS,1
2,CAQUETÁ,PUERTO RICO,18592000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,MASCULINO,ADULTOS,1
3,CASANARE,MANÍ,85139000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,FEMENINO,ADULTOS,1
4,CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,FEMENINO,ADULTOS,1
5,SUCRE,SINCELEJO (CT),70001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,FEMENINO,ADULTOS,1
6,VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,FEMENINO,ADULTOS,2
7,VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,MASCULINO,ADULTOS,2
8,VALLE,TULUÁ,76834000,ARMA BLANCA / CORTOPUNZANTE,1/01/2010,FEMENINO,ADULTOS,1
9,HUILA,PITALITO,41551000,ARMA DE FUEGO,1/01/2010,FEMENINO,ADULTOS,1
10,ANTIOQUIA,GIRARDOTA,5308000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
11,ANTIOQUIA,ITAGUI,5360000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
12,ANTIOQUIA,LA ESTRELLA,5380000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
13,ANTIOQUIA,MEDELLÍN (CT),5001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,3
14,ANTIOQUIA,MEDELLÍN (CT),5001000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
15,ARAUCA,ARAUCA (CT),81001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
16,ATLÁNTICO,BARRANQUILLA (CT),8001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
17,ATLÁNTICO,BARRANQUILLA (CT),8001000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
18,ATLÁNTICO,SABANALARGA,8638000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
19,ATLÁNTICO,SOLEDAD,8758000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
20,ATLÁNTICO,SOLEDAD,8758000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
21,ATLÁNTICO,TUBARÁ,8832000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
22,BOLÍVAR,CARTAGENA (CT),13001000,CONTUNDENTES,1/01/2010,FEMENINO,ADOLESCENTES,1
23,BOLÍVAR,CARTAGENA (CT),13001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
24,BOYACÁ,SOGAMOSO,15759000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
25,CALDAS,AGUADAS,17013000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
26,CALDAS,MANIZALES (CT),17001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
27,CALDAS,SALAMINA,17653000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
28,CALDAS,VILLAMARÍA,17873000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
29,CAQUETÁ,FLORENCIA (CT),18001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
30,CASANARE,AGUAZUL,85010000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
31,CASANARE,AGUAZUL,85010000,CONTUNDENTES,1/01/2010,MASCULINO,MENORES,1
32,CAUCA,POPAYÁN (CT),19001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
33,CAUCA,SANTANDER DE QUILICHAO,19698000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
34,CESAR,VALLEDUPAR (CT),20001000,CONTUNDENTES,1/01/2010,FEMENINO,ADOLESCENTES,1
35,CESAR,VALLEDUPAR (CT),20001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,4
36,CHOCÓ,QUIBDÓ (CT),27001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
37,CHOCÓ,QUIBDÓ (CT),27001000,CONTUNDENTES,1/01/2010,MASCULINO,ADOLESCENTES,1
38,CÓRDOBA,MONTERÍA (CT),23001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
39,CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,22
40,CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,CONTUNDENTES,1/01/2010,FEMENINO,MENORES,1
41,CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,6
42,CUNDINAMARCA,FUSAGASUGÁ,25290000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
43,CUNDINAMARCA,SOACHA,25754000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
44,CUNDINAMARCA,SOACHA,25754000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,2
45,HUILA,LA PLATA,41396000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
46,HUILA,NEIVA (CT),41001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,8
47,HUILA,PITALITO,41551000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
48,HUILA,SALADOBLANCO,41660000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
49,HUILA,SAN AGUSTÍN,41668000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
50,HUILA,TERUEL,41801000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
51,MAGDALENA,EL BANCO,47245000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
52,MAGDALENA,SANTA MARTA (CT),47001000,CONTUNDENTES,1/01/2010,FEMENINO,ADOLESCENTES,1
53,MAGDALENA,SANTA MARTA (CT),47001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
54,MAGDALENA,SANTA MARTA (CT),47001000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,2
55,META,ACACÍAS,50006000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,2
56,META,CASTILLA LA NUEVA,50150000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
57,META,GRANADA,50313000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
58,META,LA MACARENA,50350000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
59,META,SAN MARTÍN,50689000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
60,META,VILLAVICENCIO (CT),50001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,5
61,META,VILLAVICENCIO (CT),50001000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
62,META,VILLAVICENCIO (CT),50001000,CONTUNDENTES,1/01/2010,MASCULINO,MENORES,1
63,NARIÑO,IPIALES,52356000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
64,NARIÑO,IPIALES,52356000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
65,NARIÑO,PASTO (CT),52001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
66,NARIÑO,TÚQUERRES,52838000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
67,NORTE DE SANTANDER,BOCHALEMA,54099000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
68,NORTE DE SANTANDER,CÚCUTA (CT),54001000,CONTUNDENTES,1/01/2010,MASCULINO,ADOLESCENTES,1
69,NORTE DE SANTANDER,MUTISCUA,54480000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
70,PUTUMAYO,SAN FRANCISCO,86755000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
71,PUTUMAYO,SIBUNDOY,86749000,CONTUNDENTES,1/01/2010,FEMENINO,ADOLESCENTES,1
72,RISARALDA,DOSQUEBRADAS,66170000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
73,RISARALDA,LA VIRGINIA,66400000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
74,RISARALDA,PEREIRA (CT),66001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
75,RISARALDA,SANTA ROSA DE CABAL,66682000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
76,SANTANDER,BARRANCABERMEJA,68081000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
77,SANTANDER,BUCARAMANGA (CT),68001000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,4
78,SANTANDER,BUCARAMANGA (CT),68001000,CONTUNDENTES,1/01/2010,MASCULINO,ADULTOS,1
79,SANTANDER,FLORIDABLANCA,68276000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,4
80,SANTANDER,GIRÓN,68307000,CONTUNDENTES,1/01/2010,FEMENINO,ADOLESCENTES,1
81,SANTANDER,GIRÓN,68307000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
82,SANTANDER,GUADALUPE,68320000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
83,SANTANDER,MOGOTES,68464000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,1
84,SANTANDER,PIEDECUESTA,68547000,CONTUNDENTES,1/01/2010,FEMENINO,ADULTOS,2
